,P_charged_centers,cLogP,Hbond_D,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio
704,1,6.12,0,12,10,60,10
705,1,6.12,0,4,10,80,10
706,1,6.12,0,8,10,80,10
707,1,6.12,0,12,10,80,10
708,1,6.12,0,4,1,20,10
709,1,6.12,0,8,1,20,10
710,1,6.12,0,12,1,20,10
711,1,6.12,0,4,1,40,10
712,1,6.12,0,8,1,40,10
713,1,6.12,0,12,1,40,10
714,1,6.12,0,4,1,60,10
715,1,6.12,0,8,1,60,10
716,1,6.12,0,12,1,60,10
717,1,6.12,0,4,1,80,10
718,1,6.12,0,8,1,80,10
719,1,6.12,0,12,1,80,10
